ID,year,engine_cc,cylinder,valves_per_cylinder,power_ps,torque_nm,engine_compression,doors,hwy,mixed,city,fuel_cap_l
68801,2006,3489,6.0,2.0,198.0,292.0,9.8:1,5.0,9.1,11.2,12.4,68.0
68802,2006,3491,6.0,4.0,204.0,293.0,9.4:1,5.0,9.6,11.4,13.2,95.0
68805,2006,3491,6.0,2.0,204.0,293.0,10.2:1,4.0,9.4,11.2,13.1,95.0
68839,2002,6750,8.0,4.0,406.0,835.0,8.0:1,4.0,14.8,20.6,30.7,100.0
68840,2002,6750,8.0,4.0,458.0,875.0,7.8:1,4.0,14.8,20.6,31.0,100.0
68923,2021,3000,6.0,4.0,345.0,369.0,9.7,4.0,25.0,19.0,15.0,21.0
68924,2021,3000,6.0,4.0,404.0,406.0,9.7,4.0,25.0,18.0,15.0,21.0
68925,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,21.0,16.0,13.0,20.0
68926,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,21.0,16.0,13.0,20.0
68927,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,21.0,16.0,13.0,23.0
68928,2021,4700,8.0,4.0,444.0,376.0,11.3,2.0,20.0,15.0,13.0,20.0
68929,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,20.0,15.0,13.0,20.0
68930,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,20.0,15.0,13.0,20.0
68931,2021,4700,8.0,4.0,454.0,384.0,11.3,2.0,20.0,15.0,13.0,20.0
68932,2021,3800,8.0,4.0,523.0,479.0,9.5,4.0,22.0,16.0,13.0,21.0
68933,2021,3000,6.0,4.0,404.0,406.0,9.5,4.0,24.0,18.0,15.0,21.0
68952,2007,1999,4.0,4.0,129.0,178.0,9.6:1,4.0,7.8,9.1,10.2,55.0
68963,2007,2736,6.0,4.0,188.0,250.0,9.5:1,3.0,10.2,11.8,13.1,66.0
68964,2007,2735,6.0,4.0,188.0,250.0,9.5:1,3.0,9.8,11.2,12.4,66.0
68967,2007,2736,6.0,4.0,189.0,250.0,9.5:1,4.0,9.8,11.2,12.4,66.0
68980,2007,1997,4.0,4.0,129.0,178.0,9.6:1,5.0,7.8,9.1,10.2,55.0
69001,2004,1598,4.0,4.0,120.0,146.0,10.3:1,3.0,6.3,8.1,11.1,60.0
69003,2004,1970,4.0,4.0,150.0,181.0,10.0:1,3.0,7.0,8.9,12.1,60.0
69013,2004,1598,4.0,4.0,115.0,146.0,10.3:1,5.0,6.5,7.5,11.5,63.0
69023,2004,2387,5.0,2.0,150.0,300.0,18.5:1,4.0,6.1,7.5,9.9,69.0
69024,2004,2387,5.0,4.0,175.0,330.0,18.0:1,4.0,6.9,8.9,12.1,69.0
69026,2004,2492,6.0,4.0,188.0,221.0,10.3:1,4.0,8.8,11.9,17.2,69.0
69027,2004,2959,6.0,4.0,220.0,265.0,10.0:1,4.0,9.3,13.0,19.4,69.0
69028,2004,3177,6.0,4.0,250.0,289.0,10.5:1,4.0,9.1,12.5,18.3,69.0
69077,2021,3400,6.0,4.0,350.0,287.0,12.5,2.0,27.0,22.0,19.0,17.0
69078,2021,3400,6.0,4.0,350.0,287.0,12.5,2.0,27.0,22.0,19.0,17.0
69079,2021,3400,6.0,4.0,350.0,287.0,12.5,2.0,26.0,21.0,19.0,18.0
69080,2021,3400,6.0,4.0,350.0,287.0,12.5,2.0,27.0,22.0,19.0,18.0
69083,2021,3800,6.0,4.0,400.0,325.0,12.5,2.0,26.0,21.0,18.0,18.0
69084,2021,3800,6.0,4.0,400.0,325.0,12.5,2.0,26.0,21.0,18.0,18.0
69087,2021,3800,6.0,4.0,400.0,325.0,12.5,2.0,27.0,22.0,19.0,17.0
69088,2021,3800,6.0,4.0,400.0,325.0,12.5,2.0,27.0,22.0,19.0,17.0
69089,2021,3800,6.0,4.0,475.0,325.0,12.9,2.0,20.0,17.0,15.0,17.0
69090,2021,3400,6.0,4.0,350.0,287.0,12.5,2.0,26.0,21.0,18.0,18.0
69091,2021,3800,6.0,4.0,400.0,325.0,12.5,2.0,26.0,21.0,18.0,18.0
69092,2021,3800,6.0,4.0,520.0,487.0,9.8,2.0,24.0,20.0,17.0,18.0
69093,2021,3800,6.0,4.0,520.0,487.0,9.8,2.0,24.0,20.0,17.0,18.0
69094,2021,3800,6.0,4.0,560.0,516.0,9.8,2.0,24.0,20.0,17.0,18.0
69095,2021,3800,6.0,4.0,560.0,516.0,9.8,2.0,24.0,20.0,17.0,18.0
69098,2021,2700,6.0,4.0,265.0,206.0,12.5,2.0,30.0,24.0,20.0,17.0
69099,2021,3400,6.0,4.0,330.0,273.0,12.5,2.0,26.0,22.0,19.0,17.0
69100,2021,3400,6.0,4.0,315.0,266.0,12.5,2.0,28.0,23.0,20.0,17.0
69101,2021,3000,6.0,4.0,240.0,406.0,16.8,4.0,29.0,23.0,20.0,26.0
69103,2021,3600,6.0,4.0,420.0,406.0,10.5,4.0,24.0,20.0,17.0,26.0
69105,2021,4800,8.0,4.0,520.0,553.0,10.5,4.0,21.0,17.0,14.0,26.0
69106,2021,2700,6.0,4.0,275.0,214.0,12.5,2.0,30.0,24.0,20.0,17.0
69107,2021,3400,6.0,4.0,340.0,280.0,12.5,2.0,26.0,22.0,19.0,17.0
69108,2021,3400,6.0,4.0,325.0,273.0,12.5,2.0,28.0,23.0,20.0,17.0
69109,2021,3000,6.0,4.0,340.0,339.0,9.8,4.0,23.0,19.0,17.0,20.0
69110,2021,3600,6.0,4.0,400.0,406.0,10.5,4.0,23.0,19.0,17.0,20.0
69111,2021,3600,6.0,4.0,310.0,295.0,12.5,4.0,27.0,21.0,18.0,21.0
69112,2021,3600,6.0,4.0,310.0,295.0,12.5,4.0,28.0,22.0,18.0,21.0
69113,2021,3000,6.0,4.0,420.0,384.0,9.8,4.0,27.0,21.0,17.0,26.0
69114,2021,3000,6.0,4.0,420.0,384.0,9.8,4.0,26.0,20.0,17.0,26.0
69115,2021,4800,8.0,4.0,440.0,384.0,12.5,4.0,24.0,19.0,16.0,26.0
69116,2021,3000,6.0,4.0,420.0,384.0,9.8,4.0,27.0,21.0,17.0,21.0
69118,2021,4800,8.0,4.0,520.0,516.0,10.5,4.0,24.0,18.0,15.0,26.0
69119,2021,4800,8.0,4.0,520.0,516.0,10.5,4.0,24.0,18.0,15.0,26.0
69120,2021,4800,8.0,4.0,570.0,553.0,10.5,4.0,24.0,18.0,15.0,26.0
69121,2021,4800,8.0,4.0,570.0,553.0,10.5,4.0,24.0,18.0,15.0,26.0
69190,2008,1597,4.0,4.0,117.0,151.0,10.6:1,2.0,7.4,7.3,10.2,50.0
69191,2008,1598,4.0,4.0,170.0,220.0,8.3:1,2.0,8.1,9.8,11.2,50.0
69194,2008,1598,4.0,4.0,120.0,155.0,10.6:1,3.0,6.4,7.4,8.4,40.0
69294,2009,2189,4.0,4.0,157.0,203.0,10.4:1,2.0,6.9,8.3,9.6,49.0
69295,2009,2189,4.0,4.0,157.0,203.0,10.4:1,2.0,6.7,8.1,9.4,49.0
69296,2009,2384,4.0,4.0,164.0,156.0,10.4:1,4.0,8.0,9.6,10.8,61.0
69297,2009,3500,6.0,2.0,222.0,297.0,9.2:1,4.0,9.1,11.8,13.8,61.0
69298,2009,3500,6.0,2.0,220.0,294.0,10.0:1,2.0,9.1,11.8,13.8,61.0
69299,2009,3500,6.0,2.0,222.0,297.0,10.0:1,2.0,9.1,11.8,13.8,61.0
69301,2009,3600,6.0,4.0,256.0,340.0,10.0:1,2.0,9.1,11.8,13.8,61.0
69305,2009,2384,4.0,4.0,173.0,167.0,10.4:1,2.0,9.8,8.4,12.4,49.0
69306,2009,2383,4.0,4.0,175.0,226.0,10.4:1,2.0,9.4,11.2,12.4,49.0
69307,2009,2382,4.0,4.0,173.0,167.0,10.4:1,2.0,9.8,8.4,12.4,49.0
69310,2009,2384,4.0,4.0,175.0,226.0,9.4:1,2.0,9.4,11.2,12.4,49.0
69311,2009,3425,6.0,2.0,188.0,285.0,10.4:1,4.0,9.8,12.4,13.8,64.0
69312,2009,3600,6.0,4.0,268.0,339.0,10.4:1,4.0,9.8,12.4,14.7,64.0
69313,2009,3600,6.0,4.0,268.0,339.0,10.4:1,2.0,9.8,12.4,14.7,76.0
69314,2009,1799,4.0,4.0,132.0,128.0,10.0:1,4.0,7.4,8.4,9.1,49.0
